,feedback,rating
4883,"Shelby called my phone to clear me for surgery. After 7 months of trauma and pain I’m not ok but I’m surviving a Shelby wen I told her I didn’t have transportation after my accident to go park slope told me that’s none of her concern or business and to figure it out. I told her not to call me. I don’t like Her attitude have someone else call she called my phone back to remind me that I got “the wrong one” then text me very disrespectfully that my surgery is now canceled. Wen I called to find out WHYYYY my surgery was canceled I was told by KATE that there’s no funding for my surgery and I threatened her employee which is unacceptable. Shelby NEVER ADMITTED she antagonized me after I checked her attitude. I didn’t ask her to work here she chose to her attitude isn’t my concern I shouldn’t have to deal w the added stress. And I spoke to my lawyer we have funding and will be doi my surgery elsewhere
 Thanks Dr Berkowitz",Rated 1 out of 5
4771,This doctor did not communicate with me during the appointment. Provided no information based on examination even though patient was clearly interested. Even had difficulty looking at the MRI when I asked to do so. Actually caused physical injury during an EMG for which he never obtained informed consent. It was actually extremely awful.,Rated 1 out of 5
4751,TerribleExpensive and entirely unhelpful,Rated 1 out of 5
4405,"I was hit by a car and have been dealing with hip pain due to a torn labrum for 2.5 months. I'm 27 & confined to my apartment due to pain. I couldn't even dance at my own wedding 3 weeks ago. My health plan is covering all medical because my case is *not* no fault. My doctor referred me to a surgeon after PT and injection haven't helped enough. Dr. Alexiades refused to see me due to the *cause* of my injury, even though he takes my health insurance. I really don't understand and feel very upset.",Rated 1 out of 5
5005,0 stars. Terrible bedside manner. He has no idea how to do his job. He needs to stop practicing,Rated 1 out of 5
5006,Horrible service. Horrible front desk staff.,Rated 1 out of 5
4747,"The assistant made impossible to get a first appointment with the Dr. without MRI.
Uncooperative, bureaucratic, blinkered.
I have never seen such a restrictive procedure to access a Dr.
I'm 65, and experienced.
The norm is : You see the Dr., who accordingly to his finding prescribes - if needed - specific investigations, such as XRAYS or MRI.
As a prospective patient/client, and with this negative experience, I will not hire Dr.Gulotta.
NY April 25, 2019

 ",Rated 1 out of 5
4623,"I was a patient of Dr. Perna's for 4 years. His office was always terrible - always running behind, rude and incompetent staff, just to name a few problems, but he was always kind and seemed like a great doctor. However, within the last 16 months, things really took a turn for the worse. I waited 2 hours to be seen by him the last time I had an appointment and it felt rushed. I recently left 2 messages for him to call me and he never did. Went to a new doctor and found out I was misdiagnosed. ",Rated 1 out of 5
4624,"Dr. Perna administered trigger shots and advised me of ways to improve my posture. He is very good. Although his front desk staff are completely incompetent. On several occasions in the past year, the front reception have said they would return my call to make an appt but have not. I'm now switching doctors and after requesting a transfer of my records, nothing has been done and I was not contacted. It's been a month. ",Rated 1 out of 5
4882,"I have never given such a negative review to a professional and my only problem is that I could not give less than one star.  His rude and bully attitude went along with the less than 5 minute meeting we had.  He would not answer any question I asked and told me he had other patients waiting.  He then actually thumbed his finger to the door telling me my time was over.

Worse excuse for a medical person I have ever encountered.",Rated 1 out of 5
4777,"Was only interested in billing my insurance as much as possible, not my care.  ",Rated 1 out of 5
4891,Good Dr but a 3 hour wait is too extreme!!!!!!!!!!!!!!!! #RESPECTMYTIME ,Rated 1 out of 5
4897,"This doctor is incompetent. He should lose his license. He is old; practices like it is the 1980s. He set my leg in a cast for 5 weeks after I broke my ankle. Three months after the cast was off, I was still in pain. An MRI showed I still had a broken bone and my tendons & ligaments were a mess. I needed surgery, which should have been done immediately. I finally had the surgery but the delay caused residual damage.  Go to a recognized ankle surgeon who uses modern equipment and techniques. ",Rated 1 out of 5
4746,"Poor adminstrative process / staff. Cancelled surgery twice without so much as an apology after incurring costs for an MRI, pre-op screening, 2 consultations, travel and hotels . Seeking medical advice/ surgery elsewhere. Would not recommend this Doctor under any circumstances and your best served to go elsewhere.",Rated 1 out of 5
4681,"Dr. Wright?s staff members are very unprofessional. I was told my insurance was accepted, my fianc? right next to me as my witness. I get a bill for hundreds of dollars. When I called to discuss the bill, the staff member told implicated that I fabricated the story and that none of the staff members would ever say that. They billed my secondary insurance and told me they would contact me regarding my balance. Didn?t hear from them for over two months and found out i have an outstanding balance.",Rated 1 out of 5
4881,Awful is the best I can think of saying without sounding rude.,Rated 1 out of 5
4682,"terrible doctor and worse officesuper disorganized, i had to wait 3 hours and he spent 5 min w me",Rated 1 out of 5
4675,Very helpful,Rated 1 out of 5
4892,"2hr wait to see any patient, the front desk is rude as hell. ",Rated 1 out of 5
4649,"Always late appointments are always set by employees who do not know what’s going on I was scheduled for surgery 6am when I get to office or clinic, surgery is for 7:45 so I’ll be here for 2 hours prior to me getting here at 5:45 watching others come out and go in of there surgery very unacceptable ",Rated 1 out of 5
5011,"Horrible manner, insanely long waits, just terrible.",Rated 1 out of 5
4979,Less than a star do not botber making an appointment. My autistic son and I waited over an hour after our scheduled time before we left. If he can keep us waiting  that long how long will he make someone that is not rocking waiting. Orher peolpe's time matters too.,Rated 1 out of 5
4900,The extent to which she ruined my shoulder is breathtaking,Rated 1 out of 5
4901,Sorry to say my surgery is a train wreck,Rated 1 out of 5
4974,"Do not go to this practice.  Dr Astion may be qualified, but the team running the office are a disaster.  I left messages regarding follow up questions and no one ever called me back.  Both I and a new Doctor have tried 5+ times to get a copy of my records and still have not been able to make this happen after numerous phone calls, holding on the phone, stopping by in person.",Rated 1 out of 5
4978,"not the review type, but rest assured that the level of humiliation this “doctor” put me through is unheard of! the discrimination and assumptions he made toward me, I thought I was on a hidden tv show. Refused to take out the very same stitches he patched me up with because I handed him a foreign passport. Looked me in the eyes and said I was in this country illegally, wasn’t worth the argument. you should be ashamed of yourself!",Rated 1 out of 5
4685,"Horrible doctor, never keep appointment schedule, always require patient to wait over an hour for that scheduled appointment. Don’t follow up, no call back after 8 phone calls. Just a horrible doctor.",Rated 1 out of 5
4608,I had surgery over 7 years ago for a rupture disc I dont know what he did but I cant walk more then a few steps I'm In pain every minute of my life I have severe bladder damage and colon damage. Stay away from him,Rated 1 out of 5
4786,"While Dr. Weisenfeld herself is an excellent doctor, she unfortunately has a very disorganized and highly unprofessional staff. That poor staffing will end up costing patients extra money due to their incompetence. Also, I was recommended to see a surgeon by the doctor. Unbeknownst to me, that doctor was out of my network, and he felt I did not even need his consultation. A waste of my time and money.",Rated 1 out of 5
4809,"Do not waste your time or money with this doctor. I saw him for 3-4 years and was never diagnosed properly for acute pain in my foot. After switching doctors, my new doctor not only had an idea as to what the problem was on the first visit, but I was diagnosed within 2 months & I am now receiving proper treatment. Also note: the MRI facility he works with is also poor. I didn't realize there was a difference between the quality of MRIs until I began seeing a new doctor. ",Rated 1 out of 5
4797,Hastily misdiagnosis and pushes shots when not warranted. Run!!,Rated 1 out of 5
4718,Terrible bed side manner. Explained to the Doctor I was in extreme pain after a hip replacement. The office would not clear the schedule for me to come in for a follow up and was told the next available appointment would be 3 weeks from when I called after telling i was in extreme pain. I had to go to the emergency room so I could be seen. When I followed up the Doctor he completely mis diagnosed and failed to see abnormal bone growth in my tendon. I switched to Valley orthopedic and visited Dr. D who was able to discover heterotopic-ossification immediately on my x-ray. Dr. Seidenstein failed to see that on my xray and sent me home with no diagnosis and told me to follow up in 3 to 6 weeks with no treatment for my pain. He  also placed a negative comment on my medical record claiming I was seeking pain medication when I really had a severe problem. Would not reccomend this doctor.,Rated 1 out of 5
4719,"Would not recommend Dr. Russo was extremely rude and dismissive. We were referred to her by our pediatrician & were unexpectedly advised by her office for our infant to undergo x-rays. We had concerns and Dr. Russo and her staff were short, impatient and out right rude to my husband and infant as we had concerns about him being exposed to radiation. They threatened to cancel our appointment on the spot. Absolutely would not go back to her again or recommend anyone her. ",Rated 1 out of 5
4733,"Avoid this physician at all costs, I had an ACL construction that he botched. As a result I have had 5 corrective procedures to undo the damage he did during his initial procedure. He was extremely unprofessional and told me the cause of my issues post surgery were a result of ""tight hamstrings"" turns out he had drilled the screw too far into the knee causing even more damage. I'll avoid the gory details but he is lazy and upon questioning him about the issues he became evasive. He ignored issues I brought up that were signs that the procedure had been done incorrectly, limited range of motion, pain, lack of strength despite regimented physical therapy. Save yourself a nightmare, Avoid this man at all costs, you don't want him operating on you.",Rated 1 out of 5
4837,My sister went to her to look at bone scans and she told her it wasn't cancer.  Well... guess what.. it was cancer and now guess what? She's not here anymore. Thank you Dr. Beebe I'm glad to know we have Dr's that have been practicing for this long that HAVE NO CLUE what cancer scans look like. GREAT JOB!!!! ,Rated 1 out of 5
4491,Rejects treating obese peopleMy appointment was cancelled because of my age 52 and my weight which I am overweight. Doc clearly is not confident in his skills so he chases thin patients and athletes. This hospital clearly discriminates against fat patients. I have been left with no care and am still looking for a surgeon. Sad statement about medicine today.  You fat shamed me and broke your oath to do no harm. ,Rated 1 out of 5
4954,"I had an appointment with Dr. Baruch and I am honestly very disappointed. He was very unprofessional and I don't even think 1 star is the appropriate rating; he deserves 0 stars. I had an X-Ray done and he did not bother to tell me the results. Instead he saw me for 2 minutes and left the room. I did not realize that my consult was finished because he just walked away. I understand that we are in a pandemic and that doctors do not want to spend too much time with patients for their own safety but I do not think 2 minutes with a patient is appropriate either. I have a lot of pain and his sarcastic comment was very rude. I do not recommend this doctor to anyone. If you are looking for an orthopedic doctor, please look somewhere else.",Rated 1 out of 5
4938,"Gave no helpful analysis, advice or insight regarding my injured shoulder.",Rated 1 out of 5
4956,"He hasn't heard entirely what my health issue was and instead in a minute time, my appointment with him was over. The Englewood staff hasn't sent the prescription to the location I preferred and I had to call them up again to do so.",Rated 1 out of 5
4720,"Shockingly rudeI asked her if my daughter needed to have a 4th x-ray (just wanting to know if there was any way to check the healing progress with exercises or touch). I was expecting her to reassure me that it's safe, and to tell me that it was the best way to really understand how well the bone has healed - but instead she basically told me if we don't get the x-ray, then we can leave.  She bluntly said there is ""no point in having this appointment without the x-ray,"" without a single word of reassurance or bedside manner.  It was a shocking and sudden response of rudeness and aggression that was totally unexpected and actually made me feel sick to my stomach. I'm just a worried mom trying to take the best care of my precious child.

Then after we did get the x-ray she was too impatient to address my questions - her lovely nurse carefully went over everything and the x-ray technician reassured me that the radiation was safe.  It's a shame because everyone else was so lovely.",Rated 1 out of 5
4957,"Is there an option less than 1 star? This ""doctor"" does not take the appropriate time allotted to explain procedures. Not the friendliest either.",Rated 1 out of 5
4991,"My review didn't fit,so heres a short version.On 7/31/2019 comp sent me to see Dr Alan Crystal 974 52nd street for a second opinion.Place was dirty,full of webs and smelled like cat urine.Receptionist was screaming at someone on the phone,then slams the phone.He screamed at my wife because she was coming in the room with me,He SCREAMED ""you are not allowed"" He said my ankle was swollen.I asked if physical therapy would help.He started SCREAMING again saying ""Why are you asking me questions,you are not allowed to ask questions""Then he left the room.Then the receptionist started screaming at me for asking questions.I got yelled at about 5 times for different things.Then when it was over he said""you asked for my advice,lose some weight. I never met such a nasty doctor so I looked him up online.Search this ""BONE DOC SHATTERED LIVES BUT CRIPPLED PATIENTS BLINDSIDED BY MEDICAL SECRECY RULES""",Rated 1 out of 5
4411,"she always says she uses multi-disciplinary approach, but that's another way to way to make money. After 7 visits in 4 months I realized that she does not know what she is doing. ",Rated 1 out of 5
4818,This doctor REFUSES to consider operating on complicated cases.  STAY AWAY AND DON'T WASTE YOUR TIME.  His office said I had TOO MUCH ARTHRITIS!  He refused to do a tendon repair that another surgeon in Boston scheduled me for immediately.  PERHAPS HSN ADMINISTRATION NEEDS TO FIND OUR WHY MEDICARE PATIENTS WITH SUPPLEMENTS ARE TURNED AWAY BUT HAPPILY ACCEPTED BY MAJOR TEACHING HOSPITALS IN BOSTON.  An insured patientI was denied treatment.  Dr Demetracoupoulos needs to pay greater attention to the MRI's that he is sent and think about WHY he turns away people with foot and ankle disorders that he is trained to help.,Rated 1 out of 5
4986,"Do not go with her!!!
Dr. Allen is impatient and unprofessional. She is only good at billing you crazy amount of money. I went to Mount Sinai to get my blood test report and she did not even bother to explain the details on the report and just said everything is fine and let me go. A week later, I received a $450 bill for that 2 mins visit, and I was told by the hospital that Dr.Allen has tried to bill me the lowest rate possible. I tried to contact Dr.Allen but she never respond.",Rated 1 out of 5
4927,Dr. Goodwin is perhaps the most arrogant and rude physician I have ever met. ,Rated 1 out of 5
4495,This  doctor is a FRAUD ,Rated 1 out of 5
4731,"I had a terrible experience today at doctor Russo's Clinic. had a follow up appointment for my son. She spoke to me very rudely and said why are you here..who gave you the appointment... I showed her the card for appointment. But she didn't even look at my son. I had taken time off from work.
She had no idea how rudely she was talking in front of a kid. Not sure how she even got the license. Never going back to this so called ""doctor""",Rated 1 out of 5
4798,"Bad doctor very deceptive appearance , totally useless careless , does not have good knowledge of how to deal with Workers comp and low back injuries.   Also this doctor does NOT know how to keep his appointment and see his patients on time.   You can not depend on this doctor . I would not trust him either .  Stay away from him.  He is  good liar too and  very arrogant towards his patients . He makes appointment but can not keep them, instead he meeting with his employees and ignore patients. ",Rated 1 out of 5
4519,I had knee surgery with him and am still paying the price. He put the graft in the wrong place and I’ve needed many corrective surgeries. Avoid him at all costs.,Rated 1 out of 5
4953,He treated my aunt terribly. Very disrespectful man. There is no reason for a profesional like him to make jokes about a patient’s pain. Don’t work in the medical field if this is the attitude you are going to have. Do not recommend. He should be a last option when looking for an orthopedic doctor.,Rated 1 out of 5
4729,I just took my daughter to see Dr. Russo. I had a very bad experience facing her rudeness and inappropriate attitude. I do not recommend this doctor. ,Rated 1 out of 5
4499,"I cannot comment on Dr. Horowitz as I left the office before my appointment due to the fact that there was no social distancing, some people were there without masks. People were on chairs next to each other. It was wall to wall people and several people were waiting in the hall outside and one was sitting on the floor outside. This is COVID waiting to happen. Overbooked was obvious! No concern on the part of this practice about COVID. ",Rated 1 out of 5
4763,"Staff was FANTASTIC. The doctor nos so much. Lied to me about the number of knee replacements he'd done. His lack of experience in total knee replacements showed almost immediately, His promise of ""I will help you"" turned into I will help you a little bit. He was more worried about HIS reputation than my pain. I had to have his replacement REPLACED! All along he LIED. Finally one of his closest staff told me to find another doctor, Rodeo had lied about his how many knees he'd done. ",Rated 1 out of 5
4825,"I tried to make an appointment but the receptionist/nurse who evidently thinks she's a doctor, told me Dr Demetracopoulos only sees people who want surgery.  So, my question is, who in their right mind walks into a doctors office and requests surgery without understanding any other options? Unless this man operates an assembly line of ankle transplants, perhaps he should hire smarter people.  She wouldn't give me her name, then put me on hold to never pick up the phone again, of course. ",Rated 1 out of 5
4518,Awful doctor. He did a terrible job on surgery and my knee will forever be ruined because of him. Don’t go to him find anyone else.,Rated 1 out of 5
4949,Dr. Howard Baruch is the most disrespectful and insensitive doctor ever! My aunt saw him for her knee. He recommended knee surgery for my aunt but told her he will not do the surgery and began to fat shame her. She only went to him ONCE and he had no prior knowledge of her medical issues other than an MRI of my aunts knee. I work in the medical field and thankfully know many great doctors. Dr. Baruch is very far from being a great doctor due to his horrible bedside manner. Very disappointing having doctors like him fat shaming patients especially without any prior knowledge of the struggles he/she may be going through. I absolutely do not recommend this doctor. ,Rated 1 out of 5
4730,Dr. Russo is a very rude doctor. I wouldn't recommend this doctor at all based on my experience.,Rated 1 out of 5
4948,This doctor is very rude and does not listen to the patients matter he also doesnt help with the situation of peoples matter.   Dont go here not a very good doctor,Rated 1 out of 5
4947,"He is a very rude doctor. He will not treat you effectively. He wants you to keep coming to his office. He gave me medication for problems I didn't have. I don't know how he got his license. He could have killed me. It is because of him that my situation got worse. I had to go to a different orthopedic in elmhurst who finally sent me to tests and found out the real problem. Also, the wait time for each patient is at least 2 hours, no matter how early to get there. Its ridiculous",Rated 1 out of 5
4725,Worst experience with any Dr's office is w/Dr.Russo Her nd the office has 2 weeks to inform me if anything is needed for the next visit! Instead I was informed on 2 separate occasions the day and time of my appointment the very moment I walked in the door I was informed my child needed extra things. On one occasion the Dr knew we were there and she LEFT b4 seeing my child so my baby had to wait another 2 weeks to see her. AND DONT RESPOND BACK U WASTED my TIME and U knew my baby had A CAST ON!!!,Rated 1 out of 5
4829,"I brought my daughter to see Dr. Demetracopoulous for an severe injury.  Dr. Demetracopoulos neglected her care.  His office had to be asked over and over to schedule her MRI.  I had to call constantly to get the results (over 6 weeks of waiting for the results).  The office staff blamed the doctor and the doctor blamed the staff.  His last comment to me was  you have the right to be upset about this.  My suggestion is that if you are looking for a good HSS doctor, try someone else.",Rated 1 out of 5
4724,"I echo the reviews that say Dr. Russo is rude. It was easy to get an appointment and the support staff (front desk, x-ray technicians) were great but the doctor was terrible. I felt like I was immediately wasting her time as soon as she opened the door and she offered NO help or direction at all. Incredibly unprofessional and I left there with the impression that she thought she was better than helping my son and I, even though I was referred by our pediatrician.",Rated 1 out of 5
4723,"TERRIBLE. I am a high school basketball/baseball coach for 25 years so i know about doctors and injuries to kids. I took my daughter to Dr Russo when she injured her knee.  Gave no direction, just said go to physical therapy. Was not working and i wanted an MRI which she agreed.  I called the doctor FOUR TIMES over 10 days to get/discuss results. Never a call back. Not once.  I finally went to get the results myself and it shows my daughter has patella alta. YOU HEAR THAT DR RUSSO, MY DAUGHTER HAS PATELLA ALTA. Not like she cares. Never would i go back there, nor would recommend this Dr. to anyone that actually cares about kids- she doesnt. Again, i am a NYC HS sports coach and teacher. She is BAD.",Rated 1 out of 5
4923,"Dr. Goodwin spent 15 minutes with me.He ask for an X-ray , he did not even look into my back and try to sell me his ""friend"" Physiotherapy that was not cover by my insurance. basically he just told me what i knew. And now i received a bill of $1650 dollars bill which of course my insurance is disputing.",Rated 1 out of 5
4922,"Extremely arrogant and dismissive, had me read my own MRI report as if I went to medical school and expected me to understand what I was reading. Barely, if even, explained what my MRI report indicated. He also took out his phone and was texting while I was asking questions in regard to my X-ray and MRI findings. ",Rated 1 out of 5
4921,"No I will not recommend Dr. Ganta for my family and friends,",Rated 1 out of 5
4856,"The wait is ridiculous.. over 1.5 hours .
No one should have to wait that long to see a doctor for a short visit.",Rated 1 out of 5
4959,Dr. Baruch assumed responsibility for my case when the surgeon who repaired my complex ankle fracture left his practice. He recommended a second (unnecessary) surgery to correct a minor error. After obtaining a second opinion from a highly trusted orthopedic surgeon it was clear that Dr. Baruch was funneling business to his surgical center in Bloomfield. He became nasty and spiteful (by not giving a PT scrip) when asked to consult with the other Dr.,Rated 1 out of 5
4588,The ratings wouldn’t allow for no stars. I WOULD NEVER RECOMMEND DR PARKS! HE used to work at Mt. Sinai Med Center and for some reason he did not list that experience in his credentials. I wonder why?! In 2003 he performed a botched total hip revision on me while he was working under Dr. Levy at Mt Sinai Med Center. I ultimately lost 12 pints of blood. The nurses in the recovery room relentlessly pushed the 12 pints one by one into my body. Dr. Parks was scared that he would have to get me back into the OR. But decided against it. My pain was horrific -blood loss was horrifying. Monthly I would see him and told him how much pain I was in. He blamed it on my age (47). X-rays were done monthly. By the 7th month office visit the X-rays revealed that the artificial ball migrated into my pelvis fracturing it. All he said was that he was sorry! I ultimately had to have a pelvic reconstruction & another revision. Different surgeon & hospital. He IS INCOMPETENT! Think about my review!,Rated 1 out of 5
4960,"I went with an ACL injurey. He refused to do the sergury and instead of recomeding some one else to do it, he exhusted my 30 sessions of physical theary a year that I have in my insurance policy. neverthless in the 3- 4 times I visisted him, he never talked to me. I was always seen by his DA's and they talked to him then come back with whatever he said. ",Rated 1 out of 5
4465,"Went to see her for elbow pain.  Waste of time, They didnt take x-rays. Exam took 45 seconds, she told me to do excersizes and buy a elbow cuff from Amazon.  They told me they would scedule an MRI on elbow. 3 weeks went by and no one from her office called me. Horrible expierence I do not recommend her.  Found another Doctor last week and gave me a Cortizone shot. Elbow feels great now.",Rated 1 out of 5
4812,"I went to see Dr S for what I thought was plantarfasciaitis.  I went back today for my second appointment to get fitted for orthodics.  It costs me $15.00 on metro north and 5.50 for a subway. I get to my second appointment and the girl at the front desk says he no longer takes my insurance. Why didn't they tell me this before I paid $20.50 to come in ?  Why are they not doing their jobs?  I took off work this morning to get there!  I didn't get paid, but she did for NOT doing her job.  Beware  ",Rated 1 out of 5
4593,I am beyond disappointed in Dr. Parks and his staff.  When I first had my knee replaced I received a lot of attention but after 16 months I scheduled an appointment about how my knee was so inflammed and in pain.  He really did not care at all and I was quickly dismissed.  I called again and told his secretary that it was critical that he return my call and still have not heard back.  He earned his big salary and is done with me.  Now I have to have a revision with another surgeon.  ,Rated 1 out of 5
4768,Unfortunately I didn't have the opportunity to meet the Dr. I was told by staff I can't make an appointment until my MRI's were reviewed. I faxed over my MRI results for both injured knees on Friday  I called Mon & Tues. finally at 5pm was told that the Dr. didn't feel my condition was surgical and referred me to another practitioner. I truly don't believe my MRI was ever reviewed since I had two other surgeon opinions for replacement. I suppose his staff only considers famous athletes worthy.,Rated 1 out of 5
4766,"The attention in secretary to get an appointment or ask information is terrible, very rude.",Rated 1 out of 5
4857,"When I got to the office, asked what would the wait be, and his staff laughed at me. Now I understand. Waited over 2 hrs to see this Dr. When he came in, he was condescending, rude and unprofessional. He gave us 3 minutes, and told us all was good to come back next yr. that all my 6 yr old daughter needed was a hair brush- yes it's hot and we have been waiting for hours. He said - good, you are better than most. What a disappointment- he looks great online -should get ethics training ",Rated 1 out of 5
4460,"She saw me did a procedure on me that les me to greater pain …. I called the office, stopped in the office, wrote a letter to her and emailed corporate office. She refuses to get back to me with me scheduling a visit. It seems she’s only in this for money and not helping people.   I understand she could have both, but not getting back to someone that was in pain from a procedure she did shows an extreme lack of empathy. I also had a billing issue and spoke to someone that was going to look into it and call me back. That never happened   I’ve been waiting about. 6 weeks for a call from
Dr. and about 2 weeks from billing.  There are a lot of doctors out there. I recommend to do your research.  If compassion is just as important as skill, looks for the correct doctor.  ",Rated 1 out of 5
4806,STAY AWAY this is the MOST unprofessional do nothing staff of any doctors office period. He is useless.,Rated 1 out of 5
4805,"This is my second visit to Dr. Spielfogel. The first visit Dr. Spielfogel let a resident diagnose me. I went back today for a follow up, Dr. Spielfogel did see me and when I tried to explain what was going on with my foot, he basically brushed me off. I want to get to the root of why my foot extends out when I walk downstairs. I'm looking for a compassionate doctor who wants to help their patients. Dr. Spielfogel is not that. Stay away. ",Rated 1 out of 5
4740,"While I believe that Dr. Allen is competent, he certainly did not spend enough time diagnosing/talking to me about my concerns.  
",Rated 1 out of 5
4799,"My first two visits went fine. Insurance accepted. No side fees. Once I was scheduled for surgery the greed of the doctor went above everything else. The doctor demanded $3000 up front claiming at first that they’re outside the network and they won’t get paid . When that lie fell apart the claim was that the insurance company won’t pay enough and the doctors secretary  claimed that they never got paid for the previous office visits either.  Both lies easily verifiable by checking the claims made by the doctor. I was in the surgery facility getting ready for anesthesia when the doctor approached my bed to notify that he canceled my surgery due to lack of payment ahead of the procedure.  (I was warned by the health insurance not to pay anything ahead) This is called  extortion by manipulation.  For those rating  the doctor by the office cleanliness and friendly receptionist over the doctors character and experience, think of what is important in a doctor before you hit the five stars.",Rated 1 out of 5
4587,"Dismissive, had not read my chart,  almost insulting regarding my complaints and left  inaccurate notes on my chart re visits with other doctors in the hospital.  Not recommended!",Rated 1 out of 5
4586,Waited one hour thirty min to see him no apologies or warning,Rated 1 out of 5
4585,"While performing minimally invasive surgery in me, he hit my nerve and caused a drop foot. Please consider all of your options before having this type of surgery.",Rated 1 out of 5
4846,"Rude, condescending and unprofessional. Staff was nice though. ",Rated 1 out of 5
4813,"I went to Dr. Demetracopoulos to consult and hopefully schedule corrective surgery for a failed peroneal tendon repair a year ago back home. From the start, he showed a lack of professionalism by neglecting common courtesies. His tone and line of questioning about my symptoms seemed arrogant, superficial and disinterested. He was totally unprepared for the consultation. Although I sent exhibits such as radiology studies and the operative report, he had no knowledge that I had provided them. When we prompted him to check my records, he only found the pre-op MRI and indirectly called us liars for stating that a more recent one had also been in the package I sent. I offered to provide a copy on the spot, from my laptop, but he simply questioned why we were getting upset “about this”. Hmmm, let’s see… I provided everything requested; we traveled 14 hours; he was completely unprepared; his attitude was arrogant, dismissive and accusatory? Yeah, we were indeed upset; I ended the session.",Rated 1 out of 5
4778,"I went to Dr. Weisenfeld for new orthotics for flat feet. When the orthotics were done they were not what I'd asked for: 3/4 length instead of full length. They also did not fit well and caused more discomfort than my old orthotics. I returned to Dr. Weisenfeld to have the orthotics adjusted but you cannot turn a 3/4 orthotic into full length, and the changes made the orthotics basically useless, providing no support. Rather than admit she had done a poor job and hadn't provided what we had discussed during the initial consult, Dr. Weisenfeld acted like my concerns were superfluous. Dr. Weisenfeld's ""bedside manner"" is very poor, she is impatient and condescending, and made disparaging comments about a nervous tic I have (gee, I wonder why I was nervous!). In the end, I was left with completely useless orthotics and no desire to deal with Dr. Weisenfeld further to get new ones. I ended up visiting my old podiatrist out of town instead, and now happily use off-the-shelf inserts.",Rated 1 out of 5
4916,No follow up Dr Sink and his staff are only interested in treating patients that require surgery. After two years of being treated by him I was not even given a return call to make an appointment. ,Rated 1 out of 5
4574,Made an appointment more than 60 days ago. Waited for 50 minutes. Asked if available in the next 15 minutes. Answer was we have had a busy day ie no answer. I left.,Rated 1 out of 5
4477,"Terrible experience, so glad I didn’t rely on this man’s quack, cavalier  advice and instead got a second opinion. I would urge anyone considering using Lyon as their caregiver: don’t. My collarbone was misplaced by half an inch with the bone sticking out of my back. dr. Lyon did not recommend surgery. He referred to the bone sticking out of my back as “a bump” and told me that if was experiencing pain, I should have a glass of red wine. Saw 2 other doctors, both recommended surgery. ",Rated 1 out of 5
