,feedback,rating
2852,"Not only is Dr. Weiner an excellent doctor, he cares about his patients care and well-being. I was blessed to be under his care after a serious injury in NYC.",Rated 5 out of 5
2853,"I am 57, and busted my clavicle in multiple places while skiing this year. Dr. Weiner did and incredible surgery, putting the piece back together. Follow up visits and X-rays were accompanied with great, knowledgeable advice. I would definitely recommend as a great choice for shoulder surgery.",Rated 5 out of 5
2854,"What can I say about the Best! He has pulled me through 6 operations, and I will always consider him one of the finest Doctors that I know. He then referred me to Jose Rodriquez for a Hip operation. What can I say other then, if you need a competent and caring Doctor, call Dr. Lon Weiner o Lenox Hill Hospital. He will do the job, the right way. His staff is also professional,  and knowledgeable. Thank you for all your help.",Rated 5 out of 5
2855,"I have been a patient of Dr. Lon S. Weiner for a number of years and have always received exceptional care from him.  Due to injuries from three falls, complicated by osteoporosis, I suffered breaks of the left femur and right humerus as well as a right hip fracture. 

Dr. Weiner surgically repaired each injury so that I am now able to continue my normal activities, which include exercises such as hiking and dancing. Thankfully, I have full range of motion. He is the BEST! 

",Rated 5 out of 5
2856,"After many months, I can state that my experience with both the doctor and his PA, Mike were five starts - no complaints.  They were both attentive, personal, caring, and most important, knowledgeable. ",Rated 5 out of 5
2857,"I have been seeing Dr. Cleeman for a number of years.  What most impresses me about him is that he does not rush to surgery.  I think many other orthopedic surgeons would have operated on me know but Dr. Cleeman wants to push this off as much as possible. 
He also explains things in clear, understandable language without lapsing into medical jargon. ",Rated 5 out of 5
2858,"I was a patient of Dr. Cleeman two years ago
 Dr. Cleeman is very professional and friendly. I felt very relaxed as he administered the cortisone treatment in my knee.",Rated 5 out of 5
2859,Always a pleasant visit with Dr Cleeman. He addresses all my concerns and is very patient while doing so,Rated 5 out of 5
2860,Dr Cleeman is competent and thorough. He takes the time to answer all my questions. I highly recommend him. ,Rated 5 out of 5
2861,The doctor was very kind and patient. He explained everything and made me very comfortable. ,Rated 5 out of 5
2862,"I have brought my kids to Dr. Cleeman for a few broken bones. We usually go to the Astoria office and the staff is very helpful. Once we went to the Manhattan office and they were great too. Usually we go right in, meet with the doctor and he tells the staff what x-rays are needed. He reviews the x-rays immediately, shares the results, and then we discuss the treatment plan.  Today my son had a 1:15 appointment and we were out by 2:00...and that included getting a splint on the broken bone! Truly, as a mom of three athletes, it's such a relief to know we can go to a great doctor with no hassles and not a lot of wasted time! ",Rated 5 out of 5
2863,"Dr Cleeman was on time, able to provide a solution, staff friendly, facility clean and able to feel confident with respect to a diagnosis .",Rated 5 out of 5
2864,"He was very nice and very positive  about my healing.  His expert advice at the time of my injury helped so much , I believe to contribute to that.",Rated 5 out of 5
2902,"I broke my thumb and required surgery. Dr. King described the plan, and laid out what was to come. Surgery was very smooth, and Langone outpatient was a really wonderful place to be for it. 

Dr. King was super professional and very reassuring in every step of the way. I am very happy with the results. 
",Rated 5 out of 5
2903,"An amazing Dr. I am a patient for 14 yrs. Had 3 surgeries with him. Very patient, warm &  understanding. Will explain in details. I will continue to highly 9 recommend him to anyone with a hand issues.",Rated 5 out of 5
2904,"There's a reason that the FDNY sends many of their injured members to this man. Dr. King is simply fantastic. Same day appointments, works quickly and efficiently, explains everything in detail. When it comes to surgery, he projects a lot of confidence, knowledge, and comfort. Instantly felt better after the first 5 minutes of meeting him with my broken hand. I knew I was in good hands, no pun intended. Small office, but rarely overcrowded and short wait times. I wish more people knew about him.",Rated 5 out of 5
2940,He is a nice guy. I recommend him to my family and colleagues.,Rated 5 out of 5
4697,I was working for the FDNY in 2012 and injured my left knee badly during rescue operations post hurricane Sandy in Far Rockaway Queens.  I consulted with two orthopedic surgeons who gave me a less than 50% chance of returning to full duty.   On the advice of a nurse at FDNY Headquarters medical i called for a consultation with Dr. Warren.  He evaluated my knee and had me take an mri.  He advised me surgical intervention was necessary and that if I followed his instructions I could very likely return to full duty within a year.   I am happy to say I took his advice and in 16 weeks I was evaluated by the chief surgeon of the FDNY and to his amazement i met the criterior to returning to full duty.   I highly recommend him.  On behalf of myself my family and my coworkers Thank you Dr. Warren,Rated 5 out of 5
2943,"Very nice Doctor, attentive, respectful, explains the problem, possible procedures, gives options and gives detailed report after surgery. His staff is also very competent. Highly recommended.",Rated 5 out of 5
2944,"Great experience. Dr. Arnouk diagnosed my injury and performed surgery on my knee - I don't know if I could have asked for a better doctor. He was thorough in explaining my diagnosis while using language that was to the point and easy to understand. He also took the time to listen to my concerns, answer all my questions, and gave me peace of mind and realistic expectations about my condition and the recovery process. Dr. Arnouk is thorough and treats his patients like humans. Would highly recommend him if you're looking for an orthopedic surgeon or doctor.",Rated 5 out of 5
2945,"Precise and on time, thorough and easy process. The staff are very helpful and pleasant",Rated 5 out of 5
2946,"i have visited dr. arnouk number of times for my shoulder and then my knee and on these many visits, he has been totally professional, knowledgeable and responsive to all my needs and concerns. i have just had surgery on my knee and the results were fantastic. no  pain, no stiffness, and total success. i would recommend this doctor to all with no reservations.",Rated 5 out of 5
2947,"Dr Arnouk is great. He has helped me with my knees, my hands and now shoulders. One of the best Doctors that I have.

And he is very funny to!!!

",Rated 5 out of 5
2948,From the minute I entered Dr. Arnouk's office I felt relaxed and confident that he would provide superb care. He is warm and welcoming in addition to being highly skilled. I've received cortisone shots in the past. The shots from Dr. Arnouk were painless! ,Rated 5 out of 5
2949,"I was so happy to find Dr. Johnny Arnouk to repair my torn Achilles tendon. As soon as he walked in to examine my leg - I knew I was in good hands.  He listened to my concerns, answered my questions and informed me about the entire process. I really appreciated his candor, knowledge and experience. I immediately felt comfortable and lost most of my fear about the surgery and recuperation process. He's friendly and cool. He's made the whole experience not so daunting. If you're unfortunate enough",Rated 5 out of 5
2950,"This Doctor is knowledgeable, effective and has a good bedside manner. I like how he fully explained all my options and did not push surgery, AT ALL!  I’m so glad I went with the surgery (my choice) because as soon as the initial surgical pain wore off (it was too bad at all) I could feel the improvement in my knee. I had been suffering for several months, trying anti inflammatory drugs and PT as recommended by another doctor.",Rated 5 out of 5
2951,"I had shoulder surgery for adhesive capsulitis.  I followed his ""doctor's orders"" and did physical therapy daily and now I am well again.  Thank you Dr. Arnouk.",Rated 5 out of 5
2952,"
Dr Johnny Arnouk, at the bare minimum, is a gift from god to the medical field!!! I Went to Dr. Arnouk, got my x-rays, got an MRI and got my surgery within 2 months! He is an expert at what he does, has an amazing doctors office and a great staff working for him. When I tore my ACL in my knee, I could barely even walk! A little over a year later, I am back to running and even playing sports again. I HIGHLY recommend Dr. Arnouk. Great man, even better doctor! ",Rated 5 out of 5
4696,I have only had a consultation with Dr. Sandhu at this point but am planning surgery.  He is a wonderful physician.  He is knowledgeable and involves the patient in the decision making process as well as educating the patient and family.  I like that he does microsurgery and uses the least invasive procedure that will solve my problem.,Rated 5 out of 5
2954,"Dr. Madrid was so absolutely fantastic. I am a Professor of Medicine and a residency program director and this is a guy who can operate on other doctors. I saw six surgeons before I chose him. I was incredibly anxious and he was super calm and nice.
This guy screams ""competent"" when  you see him


",Rated 5 out of 5
2955,"Great doctor and surgeon.  Has done both knees and a hip replacement plus carpel tunnel, a one stop shop!  Very professional and easy to talk to.",Rated 5 out of 5
2956,"Dr. Madrid is excellent! My Conformis total left knee replacement was done on June 25th, 2020. I am pain free and will be playing golf on October 3rd, 2020. Amazing!",Rated 5 out of 5
2957,"Dr . Fernandez- Madrid is the best. His manner before the operation  and after was rewarding. I always felt I was in great hands and I was. I had no pain and was home in 3 days. He has my blessing and would recommend him to anyone, anytime.    
                       Allan S. Abrams",Rated 5 out of 5
2958,He was excellent. I feel very lucky to have had such a good experience.,Rated 5 out of 5
2959,Dr Madrid is the most kind and compassionate person in the world.  His bedside manner was immaculate.,Rated 5 out of 5
2960,Dr. Madrid replaced my hip & both knees within a 3 month period. The surgery was flawless & the recovery went well. I'll be playing tennis again about 6 months after both procedures. This is the best outcome possible.,Rated 5 out of 5
2961,"Everything about this experience was fantastic! My hip healed so quick (11 days!) I almost forget I even had the surgery! I had been scared about getting up my 4 flights of stairs and so I put it off for years, but Dr Madrid sat me down and walked me through what the experience would be like. Dr. Madrid has  a warm, reassuring personality that makes you let go of any fear you might be holding on to. He's been doing these surgeries for over 15 years and I felt completely confident in his hands. They use all the latest medical inventions, so infections aren't a worry and they have an online support system that is amazingly quick and efficient. Everyone in his office is insightful, friendly and very competent. I just can't say enough about the experience.",Rated 5 out of 5
2962,"Could not have been better. Knee replacement went fine. He and his staff always made sure I knew what to expect and responded immediately to any of my concerns. Nothing got sugar coated and everything went great!
 Plus he has great sense of humor.",Rated 5 out of 5
2963,"Dr. Madrid has replaced both of my knees and my surgeries were very successful, which is due to his expertise and care.  He is a very personable surgeon.  Both he and his team go to great lengths to assure a safe and successful procedure.  They take the time to answer questions and put your fears to rest.  I have been a patient of his for less than 3 years and highly recommend him.",Rated 5 out of 5
2964,Dr madrid has a super efficient team that guide you throughout the entire experience from beginning to end.  The same goes with the ambulatory surgical team.,Rated 5 out of 5
2965,Dr. Fernandez-Madrid did a wonderful job with my hip replacement surgery. I am pain free with my hip and would highly recommend him for any orthopedic procedures.,Rated 5 out of 5
2966,i had 2 surgeries with him and so did my husband i highly recommend any one to go and see him first,Rated 5 out of 5
2967,"This was my first major surgery, a total knee replacement.  Dr. Madrid was calm and informative, supportive, as was his staff.  I will be scheduling a second knee replacement with him.",Rated 5 out of 5
2968,Dr.Madrid listen to my needs; explain the procedure step by steps and gave me options. I’m happy with rt knee replacement and now I have to do my left knee and who is better than my Doctor Fernandez Madrid .,Rated 5 out of 5
2969,explains everything  you want to know,Rated 5 out of 5
2970,Very personable and great surgeon. I have been a patient 14 years.,Rated 5 out of 5
2941,Best doctor I have seen in the city. He treated me like a human and took care of me every possible way. I tore up my acl for the 3rd time and could not believe my luck. I thought I was done for. He talked me off the cliff and explained how we could do things to make sure my knee healed right this time. It has now been 2 years and I am back to playing basketball and soccer. I feel like I have my life back and owe it all to dr arnouk. He will be held highly in my mind and my wife. I could not recommend him more,Rated 5 out of 5
4699,Great Dr!Dr. Seidenstein replaced both my knees. I was extremely pleased with the surgery. I would recommend him to everyone! ,Rated 5 out of 5
2905,officei very courteous Doctor Forsh plain and clear on his instructions and respectful.,Rated 5 out of 5
2937,Had persistent knee pain despite tons of PT. Had arthroscopy on the knee and it was night and day. I am much better and wish I did this much much earlier. Great staff as well. Easy to talk to and understands how to take care of you.,Rated 5 out of 5
2906,"I had elbow surgery six weeks ago with Dr. Forsh and am in arm therapy. I can compare my scar with those of others in my therapy group and mine looks better at 6 weeks out than most others at 2 to 3 months out.  My therapist thinks the surgery was excellent,  and I have better range-of-motion than her other patients who are further from surgery.  St. Luke's-Mt. Sinai is disorganized and over-burdened and going in for check-ups involves fairly long waits; one does not get information as full as one would like, and my therapy prescription was initially mis-written. This is not Dr. Forsh's responsibility, and I  know St. Luke's, having done volunteer work there.  Dr. Forsh himself is unusually articulate for a surgeon, has a cheerful and thoughtful manner, and is a GOOD LISTENER.   There maybe better hospitals  in whose ER to end up, but I cannot imagine a better surgeon than Dr. Forsh. The anesthesiologist was terrific too.  ",Rated 5 out of 5
2907,Dr. Forsh is the best!  I feel so fortunate to have found him when I broke my elbow.,Rated 5 out of 5
2908,"Dr Forsh is one the best (if not THE best) surgeons you can get. He is not just a good surgeon but a great person, empathetic and highly skilled. He treated me for Lisfranc fracture, which is one of the most complex foot fractures and he did an amazing job, leaving me with a great recovery. He is very approachable, and very patient. I would highly recommend Dr Forsh to everyone. ",Rated 5 out of 5
2909,"Dr. Sculco performed a total knee revision after a botched replacement by another surgeon. The revision was a success. His experience, demeanor and willingness to share information and answer all questions is wonderful!  ",Rated 5 out of 5
2910,"I had a total hip replacement in 2016 by Dr. Sculco. Words truly can't do this doctor justice. He is a fantastic surgeon  and his professionalism, expertise, humble ,sincere, honest, genuine mannerism is unmatched. I have never met a doctor at his level of competence experience and achievement  who  truly
    cares about his patients. After surgery he stopped by and answered all my questions. What a credit to his profession he's as nice as a man as he is great as surgeon.   Debbie Vanoni",Rated 5 out of 5
2911,"I am so happy to share my wonderful experience with Dr. Sculco, his staff and the Hospital For Special Surgery.  I had a TKR two years ago and a follow up a year later.  Dr. Sculco is unlike any orthopedic surgeon I have ever met.  He is brilliant, kind, informative and has a wonderful warm approach when it comes to surgery and preparation.  He made me want to work hard at my physical therapy before and after surgery.  I'm  75,  walking 3 +miles a day & doing leg exercises as Dr. S. suggests.",Rated 5 out of 5
2913,"IT IS NOW 12 MONTHS SINCE DR. T.  SCULCO PERFORMED MY TOTAL HIP REPLACEMENT. THE SURGERY WAS 100% SUCESSFUL ON EVERY LEVEL. MY NEW HIP FEELS LIKE AN IRON HIP IN THAT, I WALK 3 MILES A DAY, I RIDE MY BIKE, I DANCE, I CLIMB 250 STEPS  A DAY JUST TO KEEP MY THIGH MUSCLES STRONG AND TONED AND I HAVE NO PAIN, NO ACHES, NO PAIN MEDS. IT'S HARD TO DESCRIBE SCULCO, WORDS FAIL. HIS SKILL AS A SURGEON IS IMPECCABLEAND HE MAKES EVERYTHING GO SMOOTH, FROM START TO FINISH. HE'S COMPLETELY HONEST AND GENUINE.",Rated 5 out of 5
2914,"      Dr. Slover saw right away that I was a nervous patient, and he really went out of his way to put me at ease.  My knees were a real mess, especially my left knee, but he replaced both of them, and my knees are fine now.  He also has an excellent sense of humor",Rated 5 out of 5
2915,Dr. Slover is an excellent surgeon.  My surgery was a complete success and my recovery has been excellent with a lot of hard work on my part as well.  The doctor can only do the surgery the patient has to do all the hard work to get a full recovery by following all the pre and post surgery exercises and physical therapy.,Rated 5 out of 5
2916,Dr. Slover did a fantastic job on my left hip replacement. He’s going to replace my right hip soon I’m looking forward to it. Great surgeon ,Rated 5 out of 5
2917,Very satisfied with the progress of my hip replacement recovery. It has definitely improved my quality of life. Dr. Slover did a good job!,Rated 5 out of 5
2918,"Dr. Slover and staff are professional, caring and most of all, available if you need to call.  My recovery has been slow for personal reasons.  Dr. Slover and staff have been reassuring.  I also used Force Therapeutics which I found to be helpful.",Rated 5 out of 5
2919,"Every visit is pleasant, he listens to all of my concerns, he looks me in the eye And answers all of my questions explains them in a way that I understand, Dr. Slover is an excellent surgeon I am very pleased with my hip replacement!! I highly recommend him!!",Rated 5 out of 5
2920,Dr. Slover answered all my questions. After surgery he maintains concern about my progress.,Rated 5 out of 5
2921,He’s a very professional caring kind person tells you the true and put together a plan to renew your life if you take advantage of his skilled information to help fix you it’s to your Benifit in the end,Rated 5 out of 5
2922,"I had my right hip replaced on March 4.  I had my left hip replaced in Oct. 2019.  I am doing very well.  Walking without assistance:  this time after about two weeks.  Dr. Slover is very professional and is open to any questions you may have.  His staff is very responsive and knowledgeable.  Jane, one of his assistants, is as professional and was very helpful in making things happen. The  PAs and Nurse Assistants at his office were always kind and helpful.   I had the anterior approach and stayed overnight.  The nursing staff at NYU Orthopedic is caring and responsive.   I highly recommend Dr. Slover,  (Due to pandemic, I had my first two post-op appointments via telehealth.  My x rays were done locally)",Rated 5 out of 5
2923,"Dr. Slover is nothing but professional, and a skilled surgeon. I had my left knee replaced in 2015, and my right hip in January 2020. Both replacements are great. I play Pickleball and am able to continue my walking regimen.  In addition, he's a personable guy.",Rated 5 out of 5
2924,"My procedure went smoothly, and the doctor was readily available whenever I had a question. The staff working with him, from the scheduled to the nurse practitioner, was also terrific.",Rated 5 out of 5
2925,"I had my right hip replacement in November. Dr Slover and his team are great from the first day. They help me with some forms issues they where very patient. After surgery the force team have good  exercise videos for you to help towards your recovery. Also chat text on how everything is going with your recovery. This is good thing because there where days, I didn't fell good. Also Dr. Slover team have a on line nurse to help with any issues love this save a trip to the office. Still recovering and doing better. I would recommend Dr. Slover to anyone having hip surgery.",Rated 5 out of 5
2926,"Dr. Slover and his team are truly wonderful. The care and attention that I received before, during and after my hip replacement made me confident I was in the right hands. It eased any concerns I might have had. I hope not to be back but would certainly use Dr. Slover again if my other hip needs to be replaced.",Rated 5 out of 5
2927,"Dr. Slover is the greatest!!!  I cannot believe the relief from pain from arthritis right after surgery, albeit there was surgical pain which was minor in comparison.  He and his entire staff are just superstars!!!",Rated 5 out of 5
2928,"Dr. Slover allowed me to meet my goal, to walk again pain free!  He is attentive to my issues. Great bedside manners! Honest and kind! Office and surgical team was wonderful and comforting.  Bottom line, my hip replacement turned out very very well!  This is only after 3 months, sure that further improvement will come!",Rated 5 out of 5
2929,Great and caring doctor.  Always available to answer questions and concerns.  Had complete confidence in him to do a great job and he did.,Rated 5 out of 5
2930,Very happy with whole experience.  Going home same day as surgery is very helpful in recovery.  Dr. Slover was very informative and caring of my needs.,Rated 5 out of 5
2931,All consultations pre- and post surgery were conducted in a very professional manner. The operation was very successful and executed according to latest achievements in science.,Rated 5 out of 5
2932,Had the best service provided from beginning to end of my right knee replacement. Dr. Slover is the Best that's why I made sure he did my right knee after having my left knee replacement 5 or 6 yrs ago done by Dr. Slover and had no problems then or now. Bless him and love his  Force Group follow up service on computer.,Rated 5 out of 5
2933,Would recommend dr Slover very highly.,Rated 5 out of 5
